20060101至20060630 含"客家"的文章共有844筆
48篇文章內共出現

日期 -單篇數量 -總數量
0628 -2 -2
0624 -6 -8
0621 -3 -11
0617 -1 -12
0613 -5 -17
0609 -1 -18
0605 -1 -19
0601 -1 -20
0528 -4 -24
0524 -1 -25
0521 -1 -26
0517 -1 -27
0513 -4 -31
0509 -5 -36
0505 -1 -37
0501 -1 -38
0428 -2 -40
0424 -1 -41
0421 -10 -51
0417 -1 -52
0413 -4 -56
0409 -8 -64
0405 -4 -68
0401 -1 -69
0328 -11-80
0324 -4 -84
0321 -10 -94
0317 -3 -97
0312 -1 -98
0309 -13 -111
0305 -7 -118
0301 -1 -119
0228 -10 -129
0224 -1 -130
0221 -1 -131
0217 -2 -133
0213 -9 -142
0209 -3 -145
0205 -3 -148
0201 -1 -149
0128 -3 -152
0124 -5 -157
0121 -3 -160
0117 -4 -164
0113 -1 -165
0108 -1 -166
0105 -11 -177
0101 -1 -178
